sent_index,main_topic,main_prob,sentence
24,4,0.3335,习主席领导推进新时代政治建军，决心之大前所未有，力度之大前所未有，反复强调任何时候任何情况下我军都必须铸牢听党指挥这个强军之魂，明确要求抓党对人民军队绝对领导一刻也不能放松
25,4,0.7494,“十五五”时期国防和军队现代化建设，一定要把政治建军摆在首要位置，做实从思想上政治上建设和掌握部队的工作，扭住人这个决定性因素凝心铸魂、强基固本，为实现党在新时代的强军目标提供坚强政治保证
26,0,0.7324,要强化政治引领铸忠诚，在真学真懂真信真用习近平新时代中国特色社会主义思想上下功夫，自觉彻底地改造思想，全面肃清流毒积弊，坚决防止做“两面人”、搞伪忠诚，切实把维护核心、听党指挥扎根到官兵头脑中、落实到我军现代化建设全部实践
27,1,0.9871,要扛起支撑强国复兴的历史重任，服从服务于新时代新征程党的中心任务，深入贯彻总体国家安全观，把军事这一手搞过硬，塑造安全态势，遏控危机冲突，打赢局部战争，确保中华民族伟大复兴的历史进程不被迟滞甚至中断
28,4,0.9854,《建议》明确了具有重大牵引、驱动、支撑作用的战略任务，要贯彻新时代军事战略方针，紧盯制约高质量发展的突出矛盾聚力攻关，把国防和军队现代化不断推向前进
29,4,0.8401,在跨越发展的关键当口，我们要聚焦先进战斗力思变革、抓建设、做准备，牵引新时代备战打仗工作走深走实
30,4,0.9773,加快国防和军队现代化，必须牢记高质量发展是新时代的硬道理，始终以高质量为追求，真抓实干、狠抓落实，推动“十五五”规划建设提质增效
31,1,0.98,回顾中国和西班牙交往历史，特别是新时代以来两国共同走过的非凡历程，双边关系不仅历久弥新，而且展现出广阔的发展前景和强劲的内生动力
32,1,0.9712,相信这届全运会不仅将见证新时代中国体育事业发展的新成就，也将展现中国式现代化在粤港澳大湾区的万千气象
33,2,0.6242,要把学习贯彻党的二十届四中全会精神同学习领会习近平新时代中国特色社会主义思想贯通起来，更加紧密地团结在以习近平同志为核心的党中央周围，为基本实现社会主义现代化而共同奋斗，不断开创以中国式现代化全面推进强国建设、民族复兴伟业新局面
34,4,0.6033,无论是“十四五”这5年，还是党的十八大以来这10多年，以习近平同志为核心的党中央站在国家强盛、民族复兴的战略高度，对体育强国建设作出整体谋划和系统部署，引领体育事业高质量发展，在新时代新征程不断开创新局面
35,4,0.9892,"亮眼的成绩单振奋人心：截至2024年底，“十四五”时期我国竞技体育共取得世界冠军519个，创世界纪录68次；北京冬奥会参赛取得历史最好成绩，巴黎奥运会创造境外参赛最好成绩……
习近平总书记指出：“中国体育代表团的优异成绩，既是我国体育事业发展进步的集中体现，也是中国式现代化建设成就的一个缩影，充分彰显了新时代中国力量"
36,2,0.938,"体育产业融入经济社会发展大局
火爆出圈的“村超”与“苏超”，两份新时代“体育+”发展的样本"
37,1,0.6628,迈进新时代，中华体育精神的图谱更为丰富，深植于社会生活与体育实践，焕发强大生命力
38,2,0.6342,体育文化建设在新时代被提升到新高度
39,0,0.8807,新时代是追梦者的时代
40,2,0.9644,当1908年《天津青年》杂志提出的“奥运三问”圆满作答，在强国建设、民族复兴的大道上，一场又一场体育盛会成为新时代的必然
41,1,0.9651,新时代中国的万千气象，中国式现代化的伟大成就，透过体育叙事立体化呈现
42,4,0.9889,改革开放特别是新时代以来，我国加快建设现代化产业体系，农业基础不断巩固，传统产业转型升级，战略性新兴产业蓬勃发展，未来产业有序布局，现代服务业快速发展，正逐步形成体系完备、配套齐全、协同高效的现代化产业体系
43,0,0.7354,我们要坚定必胜信心，因为我们始终站在历史正确的一边、人类文明进步的一边，始终沿着历史前进的逻辑前进、顺应时代发展的潮流发展，牢牢占据道义制高点；因为实现中华民族伟大复兴进入了不可逆转的历史进程，有以习近平同志为核心的党中央领航掌舵，有习近平新时代中国特色社会主义思想科学指引，我国发展具备的诸多优势将进一步彰显
44,1,0.4801,要注重向历史要经验、向实践要智慧，总结运用好中国共产党成立一百多年来特别是新时代我们党战风险、迎挑战、抗打压的历史经验，不为任何风险所惧，不为任何干扰所惑，努力做到居安思危、未雨绸缪，预判在先、谋定而动，不畏艰险、百折不挠，咬定青山不放松，乱云飞渡仍从容
45,4,0.8329,要走好新时代党的群众路线，准确把握当前社会成员分众化、利益诉求多样化、思想观念多元化、社会交往信息化等特点，提高群众工作针对性、实效性，积极回应群众关切，着力解决人民群众急难愁盼问题，不断增强人民群众获得感幸福感安全感
46,3,0.8839,推动构建人类命运共同体是新时代中国特色大国外交追求的崇高目标
47,0,0.3774,我们要深刻领悟、全面贯彻《建议》精神，以习近平新时代中国特色社会主义思想特别是习近平外交思想为引领，高举构建人类命运共同体光辉旗帜，不断开创中国特色大国外交新局面，为以中国式现代化全面推进强国建设、民族复兴伟业营造有利外部环境，为人类和平与进步事业作出更大贡献
48,1,0.986,”当前，中国特色社会主义进入新时代、迈上新征程，中华民族伟大复兴进入不可逆转的历史进程，我国已经成为更具国际影响力、创新引领力、道义感召力的负责任大国
49,0,0.4596,新时代以来，构建人类命运共同体从理念主张发展为科学体系，从美好愿景转化为丰富实践，从中国倡议扩大为国际共识，正在赢得国际社会越来越广泛的理解和认同，日益成为具有重大标识意义的公共产品
50,4,0.5753,新时代以来，习近平总书记提出亲诚惠容周边外交理念，倡导推动构建周边命运共同体
51,3,0.5457,新时代以来，中国外交积极促进大国协调和良性互动，推动构建和平共处、总体稳定、均衡发展的大国关系格局
52,3,0.5492,我们深化中俄新时代全面战略协作伙伴关系，走出了一条大国、邻国之间相互尊重、和睦相处、合作共赢的崭新道路；我们基于相互尊重、和平共处、合作共赢原则，排除干扰，克服障碍，力争中美关系健康、稳定、可持续发展；我们把中欧两大力量、两大市场、两大文明连接起来，推动建设具有全球影响力的中欧全面战略伙伴关系；我们积极推进同新兴大国合作，共同推动“大金砖合作”高质量发展
53,0,0.7526,"三、全面把握构建人类命运共同体的实践要求
构建人类命运共同体是重大外交使命和复杂系统工程，必须以习近平新时代中国特色社会主义思想特别是习近平外交思想为指导，坚持好、运用好贯穿其中的立场观点方法，不折不扣贯彻落实党中央对外工作决策部署"
54,0,0.6923,我们要更加紧密地团结在以习近平同志为核心的党中央周围，深刻领悟“两个确立”的决定性意义，切实做到“两个维护”，深学笃行习近平新时代中国特色社会主义思想特别是习近平外交思想，不断开创中国特色大国外交新局面，为夺取全面建设社会主义现代化国家新胜利、书写构建人类命运共同体新篇章而不懈奋斗
55,1,0.7392,"一
两国总理（以下简称“双方”）指出，在习近平主席和普京总统的战略引领下，中俄新时代全面战略协作伙伴关系达到历史最高水平并持续向前发展"
56,3,0.9846,中方愿同非方落实好中非合作论坛北京峰会成果和对非洲建交国实施100%税目产品零关税措施，共同推进现代化进程，构建新时代全天候中非命运共同体
57,3,0.8796,今年以来，习近平主席同武契奇总统两度会晤，就一系列重大问题达成广泛共识，为新时代中塞命运共同体建设进一步指明了方向
58,3,0.9838,今年以来，习近平主席同武契奇总统两度会晤，就一系列重大问题达成广泛共识，为新时代中塞命运共同体建设进一步指明了方向
59,3,0.9627,双方同意推进中日战略互惠关系，构建契合新时代要求的建设性、稳定的中日关系
60,2,0.6118,我们要更加紧密地团结在以习近平同志为核心的党中央周围，深学笃行习近平新时代中国特色社会主义思想特别是习近平外交思想，持续开创中国特色大国外交新局面，为强国建设、民族复兴伟业营造有利外部环境，为世界和平与发展的进步事业作出更大贡献
61,2,0.9547,新时代中国特色大国外交的鸿篇巨制中，亚太经合组织无疑是一个恢弘篇章
62,3,0.983,同日本首相高市早苗会见时，习近平主席谈到，中方愿同日方一道，“维护双边关系政治基础，推进战略互惠关系，致力于构建契合新时代要求的建设性、稳定的中日关系”
63,0,0.5705,中华文化蕴含的天下观，在新时代焕发光彩
64,0,0.986,这些重大成就的取得，根本在于以习近平同志为核心的党中央领航掌舵，在于习近平新时代中国特色社会主义思想科学指引
65,0,0.9903,与会同志一致表示，在中国式现代化的康庄大道上继续前进，有以习近平同志为核心的党中央领航掌舵，有习近平新时代中国特色社会主义思想科学指引，有亿万人民众志成城、团结奋斗，我们必将战胜一切艰难险阻，创造新的更大辉煌，铸就新的历史伟业
66,4,0.9946,"围绕保障和改善民生，在促进高质量充分就业、办好人民满意的教育、加快建设健康中国、稳步推进基本公共服务均等化等方面部署一批均衡性可及性强的政策举措；
着眼缩小区域差距、城乡差别，在加快农业农村现代化、扎实推进乡村全面振兴，优化区域经济布局、促进区域协调发展等方面部署一批务实举措；
着眼促进人民精神生活共同富裕，提出繁荣互联网条件下新大众文艺，构建中华文明标识体系，以文化赋能经济社会发展，提升中华文明传播力影响力……
规划建议在字里行间彰显着新时代中国共产党人矢志为民的深厚情怀，为“十五五”发展铺就温暖底色"
67,0,0.9814,“守正创新是习近平新时代中国特色社会主义思想的显著标识，也是此次规划建议制定过程中的突出特点
68,1,0.8109,"嘉  宾：中国现代国际关系研究院院长　傅小强
中国人民大学国际关系学院教授　刁大明
复旦大学国际问题研究院教授　邢丽菊
主持人：本报记者  王云松  曹  平
党的十八大以来，习近平总书记立足新时代中国和世界发展大势，统筹把握中华民族伟大复兴战略全局和世界百年未有之大变局，在引领中国特色大国外交阔步前行中提出一系列新理念新主张新倡议，形成了习近平外交思想"
69,0,0.7292,习近平外交思想是习近平新时代中国特色社会主义思想的重要组成部分，贯穿着马克思主义立场观点方法，根植于5000多年的中华文明，继承弘扬新中国优良外交传统，展现出独特的人文气质和人文光辉、深厚的文明意识和文明底蕴，彰显了强大的人文感召力
70,0,0.986,这些重大成就的取得，根本在于以习近平同志为核心的党中央领航掌舵，在于习近平新时代中国特色社会主义思想科学指引
71,0,0.9903,与会同志一致表示，在中国式现代化的康庄大道上继续前进，有以习近平同志为核心的党中央领航掌舵，有习近平新时代中国特色社会主义思想科学指引，有亿万人民众志成城、团结奋斗，我们必将战胜一切艰难险阻，创造新的更大辉煌，铸就新的历史伟业
72,4,0.9946,"围绕保障和改善民生，在促进高质量充分就业、办好人民满意的教育、加快建设健康中国、稳步推进基本公共服务均等化等方面部署一批均衡性可及性强的政策举措；
着眼缩小区域差距、城乡差别，在加快农业农村现代化、扎实推进乡村全面振兴，优化区域经济布局、促进区域协调发展等方面部署一批务实举措；
着眼促进人民精神生活共同富裕，提出繁荣互联网条件下新大众文艺，构建中华文明标识体系，以文化赋能经济社会发展，提升中华文明传播力影响力……
规划建议在字里行间彰显着新时代中国共产党人矢志为民的深厚情怀，为“十五五”发展铺就温暖底色"
73,0,0.9814,“守正创新是习近平新时代中国特色社会主义思想的显著标识，也是此次规划建议制定过程中的突出特点
74,1,0.5688,“关键是要集中力量办好自己的事，坚定不移推动高质量发展，坚定不移推进深层次改革、扩大高水平开放，以自身高质量发展的确定性更好应对外部环境变化的不确定性，在激烈国际竞争中赢得战略主动，在新时代新征程续写经济快速发展和社会长期稳定两大奇迹新篇章
75,1,0.5999,《建议》明确，坚持马克思主义在意识形态领域的指导地位，植根博大精深的中华文明，顺应信息技术发展潮流，发展具有强大思想引领力、精神凝聚力、价值感召力、国际影响力的新时代中国特色社会主义文化，扎实推进文化强国建设
76,0,0.6674,按照《建议》提出的要求，全军要深入贯彻习近平强军思想，贯彻新时代军事战略方针，坚持党对人民军队绝对领导，深刻领悟“两个确立”的决定性意义，增强“四个意识”、坚定“四个自信”、做到“两个维护”，贯彻军委主席负责制
77,0,0.986,这些重大成就的取得，根本在于以习近平同志为核心的党中央领航掌舵，在于习近平新时代中国特色社会主义思想科学指引
78,1,0.9966,坚持马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观，全面贯彻习近平新时代中国特色社会主义思想，深入贯彻党的二十大和二十届历次全会精神，围绕全面建成社会主义现代化强国、实现第二个百年奋斗目标，以中国式现代化全面推进中华民族伟大复兴，统筹推进“五位一体”总体布局，协调推进“四个全面”战略布局，统筹国内国际两个大局，完整准确全面贯彻新发展理念，加快构建新发展格局，坚持稳中求进工作总基调，坚持以经济建设为中心，以推动高质量发展为主题，以改革创新为根本动力，以满足人民日益增长的美好生活需要为根本目的，以全面从严治党为根本保障，推动经济实现质的有效提升和量的合理增长，推动人的全面发展、全体人民共同富裕迈出坚实步伐，确保基本实现社会主义现代化取得决定性进展
79,1,0.6486,坚持马克思主义在意识形态领域的指导地位，植根博大精深的中华文明，顺应信息技术发展潮流，发展具有强大思想引领力、精神凝聚力、价值感召力、国际影响力的新时代中国特色社会主义文化，扎实推进文化强国建设
80,0,0.9769,深化党的创新理论学习和宣传教育，坚持不懈用习近平新时代中国特色社会主义思想凝心铸魂
81,4,0.882,实施新时代立德树人工程，促进思政课堂和社会课堂有效融合，加强体育、美育、劳动教育，完善教育评价体系
82,4,0.9558,坚持和发展新时代“枫桥经验”，加强乡村治理，完善社区治理
83,3,0.9926,贯彻习近平强军思想，贯彻新时代军事战略方针，坚持党对人民军队绝对领导，贯彻军委主席负责制，按照国防和军队现代化新“三步走”战略，推进政治建军、改革强军、科技强军、人才强军、依法治军，边斗争、边备战、边建设，加快机械化信息化智能化融合发展，提高捍卫国家主权、安全、发展利益战略能力
84,1,0.986,深入贯彻新时代党解决台湾问题的总体方略，坚决打击“台独”分裂势力，反对外部势力干涉，维护台海和平稳定，牢牢把握两岸关系主导权主动权
85,0,0.986,这些重大成就的取得，根本在于以习近平同志为核心的党中央领航掌舵，在于习近平新时代中国特色社会主义思想科学指引
86,1,0.9966,坚持马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观，全面贯彻习近平新时代中国特色社会主义思想，深入贯彻党的二十大和二十届历次全会精神，围绕全面建成社会主义现代化强国、实现第二个百年奋斗目标，以中国式现代化全面推进中华民族伟大复兴，统筹推进“五位一体”总体布局，协调推进“四个全面”战略布局，统筹国内国际两个大局，完整准确全面贯彻新发展理念，加快构建新发展格局，坚持稳中求进工作总基调，坚持以经济建设为中心，以推动高质量发展为主题，以改革创新为根本动力，以满足人民日益增长的美好生活需要为根本目的，以全面从严治党为根本保障，推动经济实现质的有效提升和量的合理增长，推动人的全面发展、全体人民共同富裕迈出坚实步伐，确保基本实现社会主义现代化取得决定性进展
87,1,0.6485,坚持马克思主义在意识形态领域的指导地位，植根博大精深的中华文明，顺应信息技术发展潮流，发展具有强大思想引领力、精神凝聚力、价值感召力、国际影响力的新时代中国特色社会主义文化，扎实推进文化强国建设
88,0,0.9769,深化党的创新理论学习和宣传教育，坚持不懈用习近平新时代中国特色社会主义思想凝心铸魂
89,4,0.882,实施新时代立德树人工程，促进思政课堂和社会课堂有效融合，加强体育、美育、劳动教育，完善教育评价体系
90,4,0.9558,坚持和发展新时代“枫桥经验”，加强乡村治理，完善社区治理
91,3,0.9926,贯彻习近平强军思想，贯彻新时代军事战略方针，坚持党对人民军队绝对领导，贯彻军委主席负责制，按照国防和军队现代化新“三步走”战略，推进政治建军、改革强军、科技强军、人才强军、依法治军，边斗争、边备战、边建设，加快机械化信息化智能化融合发展，提高捍卫国家主权、安全、发展利益战略能力
92,1,0.986,深入贯彻新时代党解决台湾问题的总体方略，坚决打击“台独”分裂势力，反对外部势力干涉，维护台海和平稳定，牢牢把握两岸关系主导权主动权
93,0,0.9613,这个历经淬炼的文明古国，正以崭新姿态在新时代砥砺前行
94,1,0.9968,全会强调，“十五五”时期经济社会发展，必须坚持马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观，全面贯彻习近平新时代中国特色社会主义思想，深入贯彻党的二十大和二十届历次全会精神，围绕全面建成社会主义现代化强国、实现第二个百年奋斗目标，以中国式现代化全面推进中华民族伟大复兴，统筹推进“五位一体”总体布局，协调推进“四个全面”战略布局，统筹国内国际两个大局，完整准确全面贯彻新发展理念，加快构建新发展格局，坚持稳中求进工作总基调，坚持以经济建设为中心，以推动高质量发展为主题，以改革创新为根本动力，以满足人民日益增长的美好生活需要为根本目的，以全面从严治党为根本保障，推动经济实现质的有效提升和量的合理增长，推动人的全面发展、全体人民共同富裕迈出坚实步伐，确保基本实现社会主义现代化取得决定性进展
95,1,0.6486,坚持马克思主义在意识形态领域的指导地位，植根博大精深的中华文明，顺应信息技术发展潮流，发展具有强大思想引领力、精神凝聚力、价值感召力、国际影响力的新时代中国特色社会主义文化，扎实推进文化强国建设
96,3,0.9926,贯彻习近平强军思想，贯彻新时代军事战略方针，坚持党对人民军队绝对领导，贯彻军委主席负责制，按照国防和军队现代化新“三步走”战略，推进政治建军、改革强军、科技强军、人才强军、依法治军，边斗争、边备战、边建设，加快机械化信息化智能化融合发展，提高捍卫国家主权、安全、发展利益战略能力
97,1,0.9968,全会强调，“十五五”时期经济社会发展，必须坚持马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观，全面贯彻习近平新时代中国特色社会主义思想，深入贯彻党的二十大和二十届历次全会精神，围绕全面建成社会主义现代化强国、实现第二个百年奋斗目标，以中国式现代化全面推进中华民族伟大复兴，统筹推进“五位一体”总体布局，协调推进“四个全面”战略布局，统筹国内国际两个大局，完整准确全面贯彻新发展理念，加快构建新发展格局，坚持稳中求进工作总基调，坚持以经济建设为中心，以推动高质量发展为主题，以改革创新为根本动力，以满足人民日益增长的美好生活需要为根本目的，以全面从严治党为根本保障，推动经济实现质的有效提升和量的合理增长，推动人的全面发展、全体人民共同富裕迈出坚实步伐，确保基本实现社会主义现代化取得决定性进展
98,1,0.6486,坚持马克思主义在意识形态领域的指导地位，植根博大精深的中华文明，顺应信息技术发展潮流，发展具有强大思想引领力、精神凝聚力、价值感召力、国际影响力的新时代中国特色社会主义文化，扎实推进文化强国建设
99,3,0.9926,贯彻习近平强军思想，贯彻新时代军事战略方针，坚持党对人民军队绝对领导，贯彻军委主席负责制，按照国防和军队现代化新“三步走”战略，推进政治建军、改革强军、科技强军、人才强军、依法治军，边斗争、边备战、边建设，加快机械化信息化智能化融合发展，提高捍卫国家主权、安全、发展利益战略能力
100,4,0.8264,从完善现代化产业体系到攻关重大科技项目，从建设国家重大工程到推动绿色发展……新时代以来，我们坚持有效市场和有为政府相结合，有效组织各项事业、开展各项工作，以新发展理念引领高质量发展迈上新台阶
101,4,0.9899,推行科研经费“包干制”改革，赋予科研人员更大自主权；推进数据要素市场化改革，创新动能更强劲；“政府搭台、企业唱戏、科研院所支撑”，让创新从市场中来、到市场中去……新时代以来，我国在量子科技、生命科学、物质科学、空间科学等领域取得一批重大原创性成果，推动科技事业取得历史性成就、发生历史性变革
102,2,0.938,一颗苹果，牵着为人民办事的初心，映着新时代的奋斗，连着天下一家的情怀
103,4,0.9301,新时代以来，2000多个改革方案，大写的“人”字贯穿始终：医药卫生体制改革推动药品集中采购降价，让医药费用过快增长势头得到遏制；教育体制改革促进城乡义务教育一体化，让优质教育资源更均衡；养老服务体系改革扩大普惠供给，回应老龄化社会需求……改革始终聚焦民生，彰显制度温度
104,0,0.9866,在以习近平同志为核心的党中央坚强领导下，坚定不移沿着中国特色社会主义道路奋勇前进，新时代的中国必将在新征程上赢得更加伟大的胜利和荣光
105,2,0.9868,国务委员、全国妇联主席谌贻琴出席并讲话，强调要把学习好宣传好落实好习近平总书记主旨讲话精神作为全国妇女工作的重大政治任务，担当作为、务求实效，推动新时代新征程妇女事业高质量发展
106,1,0.5815,30年来，中国妇女事业发展取得显著成就，我们可以通过中方近期发布的《新时代中国推进妇女全面发展的实践与成就》白皮书了解相关情况
107,0,0.4986,——用几十年时间走完了西方发达国家几百年走过的工业化历程，在新时代书写了经济快速发展和社会长期稳定两大奇迹新篇章，这是人类现代化历史上前所未有的创造
108,0,0.9878,正是有以习近平同志为核心的党中央坚强领导，有习近平新时代中国特色社会主义思想科学指引，我们党始终把握发展规律、掌握了历史主动
109,4,0.5546,新时代推动实现高质量发展、高品质生活、高效能治理、高水平开放的伟大实践中，蕴含着生动而深刻的答案
110,4,0.9773,"（二）
坚持高质量发展是新时代的硬道理，“以高质量发展的确定性应对各种不确定性”，为推进中国式现代化奠定坚实物质技术基础"
111,4,0.9832,与此同时，我国生态文明建设取得举世瞩目的成就，成为新时代伟大成就和变革的显著标志，使人与自然和谐共生这一中国式现代化的鲜明特点更加凸显
112,2,0.8603,这是新时代中国共产党人的创举
113,4,0.9394,从宁夏西吉文学的“庄稼”茁壮成长，到广东东莞保安、快递员等素人写作者绽放光芒，新时代大众文艺百花齐放，亿万人民的精神面貌焕然一新
114,1,0.6043,高品质生活和高质量发展双向奔赴，今天中国人民对美好生活的向往不断变为现实，正在党的领导下信心百倍书写着新时代中国发展的伟大历史
115,4,0.9801,新时代以来，系统完备、科学规范、运行有效的制度体系日渐成熟定型，制度优势更好转化为国家治理效能
116,4,0.6303,从北京探索形成“接诉即办”等经验做法，到安徽桐城推广“新时代六尺巷工作法”……坚持和发展新时代“枫桥经验”，完善共建共治共享的社会治理制度，筑牢社会和谐稳定的基础，平安中国建设向更高水平迈进
117,3,0.9809,这是继全球发展倡议、全球安全倡议、全球文明倡议之后，新时代中国向世界贡献的又一重要国际公共产品
118,0,0.9887,在以习近平同志为核心的党中央坚强领导下，全面贯彻习近平新时代中国特色社会主义思想，保持战略定力，增强必胜信心，激发只争朝夕、永不懈怠的奋斗精神，未来一定属于我们
119,1,0.7792,黑白影像中，从《桥》里工人阶级“第一次当主角”的滚烫宣言，到《白毛女》中喜儿的翻身呐喊，电影里有人民心声；彩色巨幕上，“我和我的”电影三部曲展现了新时代主旋律电影的思想高度和艺术水平，《送你一朵小红花》《你好，李焕英》以真情实感打动人心，电影一直在探索“人民性”的时代表达
120,4,0.9756,特别是新时代以来，电影事业繁荣发展，2024年，城市院线净增银幕数4658块，银幕总数达到90968块，全国电影公益放映队4.3万个、开展电影公益放映821万场
121,3,0.9903,本届会议以“共创·共建·共享——推动中非军事医学合作高质量发展”为主题，围绕卫生勤务理论与管理创新、军事药学与军事医学、多样化非战争军事行动医学保障等议题进行研讨，还组织学术沙龙、参观考察等活动，进一步深化中非军事医学务实合作，提升共同应对医疗卫生领域挑战能力，为共筑新时代全天候中非命运共同体贡献力量
122,3,0.9062,中方愿同利方一道，落实好两国元首重要共识和中非合作论坛北京峰会成果，在涉及彼此核心利益和重大关切问题上继续相互支持，深化互利合作，加强多边团结协作，为共筑新时代全天候中非命运共同体作出贡献
123,3,0.9866,顺应和平、发展、合作、共赢的时代潮流，新时代中国提出构建人类命运共同体的宏伟愿景，将和平、发展上升为全人类共同价值，将各国人民对美好未来的向往汇聚成并肩前行的力量
